Date,Price Change
10/1/2012,
10/2/2012,-0.0061538
10/3/2012,0.0049536
10/4/2012,0.025878
10/5/2012,0.0402402
10/8/2012,0.0080831
10/9/2012,-0.0148912
10/10/2012,-0.0168605
10/11/2012,-0.0094619
10/12/2012,-0.0071642
10/15/2012,0
10/16/2012,0.0342754
10/17/2012,0.052907
10/18/2012,0.0082827
10/19/2012,-0.0317634
10/22/2012,0.0169683
10/23/2012,-0.0189099
10/24/2012,0.0062358
10/25/2012,0.0298592
10/26/2012,-0.0426696
10/29/2012,0
10/30/2012,0
10/31/2012,-0.0365714
11/1/2012,0.0172005
11/2/2012,0.006414
11/5/2012,-0.0243337
11/6/2012,0.0344418
11/7/2012,-0.0631458
11/8/2012,0
11/9/2012,-0.0116422
11/12/2012,-0.0012399
11/13/2012,-0.0136561
11/14/2012,0
11/15/2012,0
11/16/2012,-0.0094399
11/19/2012,0.023507
11/20/2012,0.0211049
11/21/2012,0.0255319
11/22/2012,0
11/23/2012,0.0035566
11/26/2012,-0.0171294
11/27/2012,-0.0114183
11/28/2012,-0.0170213
11/29/2012,0.0018553
11/30/2012,-0.008642
12/3/2012,0.0136986
12/4/2012,-0.012285
12/5/2012,-0.0105721
12/6/2012,-0.0062854
12/7/2012,0.0290955
12/10/2012,-0.0067609
12/11/2012,0.0204208
12/12/2012,0.0291086
12/13/2012,0.0182675
12/14/2012,-0.0115741
12/17/2012,0.0322014
12/18/2012,0.0363018
12/19/2012,-0.0147783
12/20/2012,0
12/21/2012,-0.0255556
12/24/2012,0.0114025
12/25/2012,0
12/26/2012,-0.0090192
12/27/2012,-0.0244596
12/28/2012,-0.0023324
12/31/2012,0.0263004
1/1/2013,0
1/2/2013,0.0472665
1/3/2013,0.0326264
1/4/2013,0.0084255
1/7/2013,-0.0062663
1/8/2013,-0.0168156
1/9/2013,-0.010155
1/10/2013,0.0226782
1/11/2013,-0.0100317
1/14/2013,-0.0096
1/15/2013,-0.0140011
1/16/2013,-0.003823
1/17/2013,0.0279605
1/18/2013,-0.0170667
1/21/2013,0
1/22/2013,-0.0043407
1/23/2013,-0.0010899
1/24/2013,0.0060011
1/25/2013,0.0558568
1/28/2013,0.0138675
1/29/2013,0.0070922
1/30/2013,0.0090543
1/31/2013,-0.0104686
2/1/2013,0.0125945
2/4/2013,-0.018408
2/5/2013,0.0217942
2/6/2013,-0.0238095
2/7/2013,-0.0086382
2/8/2013,0.0015377
2/11/2013,-0.0040942
2/12/2013,0.0184995
2/13/2013,0.018668
2/14/2013,-0.0094106
2/15/2013,0.0035
2/19/2013,0.0094669
2/20/2013,-0.0024679
2/21/2013,-0.0222662
2/22/2013,-0.0045547
2/25/2013,-0.036604
2/26/2013,-0.0084433
2/27/2013,0.0127728
2/28/2013,-0.0078823
3/1/2013,-0.0185381
3/4/2013,0.012952
3/5/2013,0.009057
3/6/2013,0.0232313
3/7/2013,0.0273478
3/8/2013,0.0326469
3/11/2013,0
3/12/2013,-0.0160506
3/13/2013,-0.0009886
3/14/2013,0.0059377
3/15/2013,-0.0181997
3/18/2013,-0.0200401
3/19/2013,-0.0245399
3/20/2013,0.0151992
3/21/2013,-0.0025813
3/22/2013,-0.0087992
3/25/2013,0
3/26/2013,-0.0046997
3/27/2013,-0.0288562
3/28/2013,0.0005402
